"syntax","description","expression","tio_link"
"Is{,[⍳⍺]⍵}Y","Merge the leading Is axes of Y","⎕← a ← 2 3 4⍴⍳24
⎕← ⍴ a
⎕← ⍴ 1 {,[⍳⍺]⍵} a
⎕← ⍴ 2 {,[⍳⍺]⍵} a
⎕← ⍴ 3 {,[⍳⍺]⍵} a","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQSFUCkkYKxgsmj3i2PejcbmXBBpYB8hURkjqFCtU40UMmj3l2xj3q31qLKGuGVNcaQ/f8fAA"
"((⎕EM⍳32767)⍳⊆)D","Error/interrupt number(s) for message(s) D","⎕←((⎕EM⍳32767)⍳⊆) 'INDEX ERROR' 'VALUE ERROR' 'INTERRUPT' 'TIMEOUT'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtEzQ0gLSr76PezcZG5mbmmkDGo642TQV1Tz8X1wgF16Ag/yB1BfUwR59QVzjP0y8EyAwNCAGyQzx9Xf1DQ9T//wcA"
"(⌊1+10⍟|+0∘=)J","Number of digits in integers in J","⎕← (⌊1+10⍟|+0∘=) 1618 0 ¯271828","https://tio.run/##ATgAx/9hcGwtZHlhbG9n///ijpXihpAgKOKMijErMTDijZ98KzDiiJg9KSAxNjE4IDAgwq8yNzE4Mjj//w"
"X(⍸-⍳≤∘≢⊣)Y","Indices of major cells of Y in right-inclusive intervals with cut-offs X","mat←3 2⍴⍳6
⎕← mat (⍸-⍳≤∘≢⊣) 3 3
⎕← mat (⍸-⍳≤∘≢⊣) 3 4","https://tio.run/##SyzI0U2pTMzJT///Pzex5FHbBGMFo0e9Wx71bjbjetQ3FSigABRX0HjUu0MXKPioc8mjjhmPOhc96lqsqWCsYEyMIpP//wE"
"(+/∘∪⊢∨⍳)Js","Sum of positive divisors of Js","⎕← (+/∘∪⊢∨⍳) 12","https://tio.run/##ASsA1P9hcGwtZHlhbG9n///ijpXihpAgKCsv4oiY4oiq4oqi4oio4o2zKSAxMv//"
"(⊃∘⍋∘|⊃⊢)Nv","First number with smallest magnitude","⎕← (⊃∘⍋∘|⊃⊢) 3 ¯4 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnU1P@qY8ai3G0jWgDhdizQVjBUOrTdRMPr/HwA"
"(⍳∘≢≡⌽∘⍋)N","Is N Strictly Decreasing?","⎕← (⍳∘≢≡⌽∘⍋) 314 159 265
⎕← (⍳∘≢≡⌽∘⍋) 314 159 26 5
⎕← (⍳∘≢≡⌽∘⍋) 2700 1828 1828 459","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvVuftQx41HnokedCx/17AWxe7s1FYwNTRQMTS0VjMxMuYhWqkBQrZG5gYGCoYWRBYQwMbX8/x8A"
"(⊃∘⍒∘|⊃⊢)Nv","First number with largest magnitude","⎕← (⊃∘⍒∘|⊃⊢) 3 ¯4 2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnU1P@qY8ah3EpCsAXG6FmkqGCscWm@iYPT/PwA"
"(⍳∘≢≡⌽∘⍒)N","Is N Strictly Increasing?","⎕← (⍳∘≢≡⌽∘⍒) 31 41 59 26
⎕← (⍳∘≢≡⌽∘⍒) 31 41 59 265
⎕← (⍳∘≢≡⌽∘⍒) 27 1828 1828 4590","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvVuftQx41HnokedCx/17AWxeydpKhgbKpgYKphaKhiZcRGv1JSQWiNzBUMLIwsIYWJqafD/PwA"
"(=∘⌊⍨*∘0.5)N","Indicate which numbers in N are perfect squares.","⎕← (=∘⌊⍨*∘0.5) 1 2 3 4 5 6 7 8 9 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0bB91zHjU0/Wod4UWkGWgZ6qpYKhgpGCsYKJgqmCmYK5goWCpYGjw/z8A"
"(2=0+.=⍳|⊢)Ns","Is Ns a prime?","⎕← (2=0+.=⍳|⊢) 6
⎕← (2=0+.=⍳|⊢) 7
⎕← (2=0+.=⍳|⊢) 8
⎕← (2=0+.=⍳|⊢) 9
⎕← (2=0+.=⍳|⊢) 10
⎕← (2=0+.=⍳|⊢) 11","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0jGwNtPVsH/VurnnUtUhTwYwLh4Q5LgkLXBKWuCQMDXDKGP7/DwA"
"(1⊥∘|-)⍤1⍤1 99⍨Nm","Manhattan distance table for points in N-space (one point per row)","⎕← (1⊥∘|-)⍤1⍤1 99⍨ ⎕← 4 2⍴0 0 0 1 1 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DB91LX3UMaNGV/NR7xJDEFawtHzUu0IBqsBEwehR7xYDBRA0BEIw@f8/AA"
"(↑⍴¨∘'⎕')J","Bar chart","⎕← (↑⍴¨∘'⎕') 3 1 4 1 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HrVNfNS75dCKRx0z1IFi6poKxgqGCiZAbPr/PwA"
"(0~⍨∘,∘⍉⊢⌸)Y","Progressive index of (⍳) cyclic uniques (∪) without replacement","⎕← i ← (0~⍨∘,∘⍉⊢⌸) 'abracadabra'
⎕← 'abracadabra'[i]","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQyFUCkhkHdo94Vjzpm6ADxo97OR12LHvXs0FRQT0wqSkxOTAFR6lxQLSiC0Zmx//8DAA"
"Mv(2*∘÷⍨1⊥2*⍨-)Nv","Euclidean distance between two points in N-space","⎕← 0 0 0 0 (2*∘÷⍨1⊥2*⍨-) 0 3 4 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMoFDDSOtRx4zD2x/1rjB81LUUyOtdoasJlDBWMFEw@P8fAA"
"(10⊥∘,∘⍉10∘⊥⍣¯1)Jv","Encode a vector of positive integers as equal-width fields of digits in an integer","⎕← (10⊥∘,∘⍉10∘⊥⍣¯1) 31 1 27 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DA0edS191DFDB4gf9XYCuUAaKNK7@NB6Q00FY0MFQwUjcwWD//8B"
"M((××∘⌊|)÷)N","Truncated division","⎕← ¯10 10 ¯10 10 ((××∘⌊|)÷) ¯3 ¯3 3 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOrTc0UAAiGK2hcXj64emPOmY86umq0Ty8XRMoYwzGQPj/PwA"
"X(<\@(=⍨)⍷)Y","Boolean one at first occurrence of X in Y","⎕← 'fab' (<\@(=⍨)⍷) 3 5⍴'abcdef'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTU0xKT1BU0bGIcNGwf9a7QfNS7XVPBWMH0Ue8W9cSk5JTUNPX//wE"
"(××∘⌊|+1>2||)N","Rounding to nearest odd number (favouring away from 0)","⎕← (××∘⌊|+1>2||) 1.6 2.7 3.1","https://tio.run/##ATQAy/9hcGwtZHlhbG9n///ijpXihpAgKMOXw5fiiJjijIp8KzE@Mnx8KSAxLjYgMi43IDMuMf//"
"(⊢⊥⍨10*∘⌊1+10∘⍟)Jv","Join digits of strictly positive integers into a single integer","⎕← (10⊥∘∊10∘⊥⍣¯1¨) 31 1 27","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DA0edS191DHjUUcXkAmkgbzexYfWGx5aoalgbKhgqGBk/v8/AA"
"M((+⌿÷≢)2*⍨-)N","Mean squared error","⎕← 1 2 3 ((+⌿÷≢)2*⍨-) 0.9 2.1 3.1","https://tio.run/##AToAxf9hcGwtZHlhbG9n///ijpXihpAgMSAyIDMgKCgr4oy/w7fiiaIpMirijagtKSAwLjkgMi4xIDMuMf//"
"(⊃0⎕NINFO⍠1,∘'/*')Dv","List directory Dv (. for current directory)","⎕← (⊃0⎕ninfo⍠1,∘'/*')'/usr'
⎕← (⊃0⎕ninfo⍠1,∘'/*')'.'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnU1GwDZeZl5afmPehcY6jzqmKGur6Wuqa5fWlykzkVYnZ76//8A"
"Is(|∘⍳∘≢⊢∘⊂⌸⊢)Y","Distribute major cells of Y into Is (default Is:≢Y) groups as evenly as possible","UnZip ← |∘⍳∘≢⊢∘⊂⌸⊢
var ← 'abcdef'
⎕← 1 UnZip var
⎕← 2 UnZip var
⎕← 3 UnZip var
⎕← 4 UnZip var
⎕← 5 UnZip var
⎕← 6 UnZip var
⎕← 7 UnZip var
⎕← 8 UnZip var
⎕←   UnZip var","https://tio.run/##SyzI0U2pTMzJT///PzQvKrNA4VHbBIWaRx0zHvVuBpGdix51LQIxupoe9ewAsrnKEovAitQTk5JTUtPUuR71TQXxDRUgBgDlYUJGmELGmEImmEKmmEJmmELmmEIWmEIKCKH//wE"
"(⊢×∘.<⍨∘⍳∘≢)Mm","Extract the upper triangular part of the matrix Mm without main diagonal","⎕← (⊢×∘.<⍨∘⍳∘≢) 5 5⍴⍳25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtOjz9UccMPZtHvSuA9KPezSCyc5GmgqmC6aPeLUABI9P//wE"
"(⊢×∘.≤⍨∘⍳∘≢)Mm","Extract the upper triangular part of the matrix Mm with main diagonal","⎕← (⊢×∘.≤⍨∘⍳∘≢) 5 5⍴⍳25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtOjz9UccMvUedSx71rgCyHvVuBpGdizQVTBVMH/VuAQoYmf7/DwA"
"(⊢×∘.≥⍨∘⍳∘≢)Mm","Extract the lower triangular part of the matrix Mm with main diagonal","⎕← (⊢×∘.≥⍨∘⍳∘≢) 5 5⍴⍳25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtOjz9UccMvUedSx/1rgCyHvVuBpGdizQVTBVMH/VuAQoYmf7/DwA"
"(⊢×∘.>⍨∘⍳∘≢)Mm","Extract the lower triangular part of the matrix Mm without main diagonal","⎕← (⊢×∘.>⍨∘⍳∘≢) 5 5⍴⍳25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtOjz9UccMPbtHvSuA9KPezSCyc5GmgqmC6aPeLUABI9P//wE"
"(⊢≡∘.<⍨∘⍳∘≢)Bm","Is Bm a full upper triangular matrix without diagonal?","⎕← (⊢≡∘.<⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡∘.<⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 0 1 1 0 0 1
⎕← (⊢≡∘.<⍨∘⍳∘≢) ⎕← 3 3⍴0 1 1 0 0 1 0 0 0
⎕← (⊢≡∘.<⍨∘⍳∘≢) ⎕← 3 3⍴0 0 1 0 0 0 0 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS58FHHDD2bR70rgPSj3s0gsnORpgJUjbGC8aPeLYYKaJCLTCMMoKQBOUYgaQaTBuQYAdcMgf//AwA"
"(⊢≡∘.≤⍨∘⍳∘≢)Bm","Is Bm a full upper triangular matrix with diagonal?","⎕← (⊢≡∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 0 1 1 0 0 1
⎕← (⊢≡∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴0 1 1 0 0 1 0 0 0
⎕← (⊢≡∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴0 0 1 0 0 0 0 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS58FHHDL1HnUse9a4Ash71bgaRnYs0FaCqjBWMH/VuMVRAg1xkG2IAJQ3IMwRJO5g0IM8QuHYI/P8fAA"
"(⊢≡∘.≥⍨∘⍳∘≢)Bm","Is Bm a full lower triangular matrix with diagonal?","⎕← (⊢≡∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴1 0 0 1 1 0 1 1 1
⎕← (⊢≡∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 1 0 0 1 1 0
⎕← (⊢≡∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 0 0 0 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS58FHHDL1HnUsf9a4Ash71bgaRnYs0FaCqjBWMH/VuMVRAg1xkGWIAhCDtBuQbYgA1BG4U@YYgGfX/PwA"
"(⊢≡∘.>⍨∘⍳∘≢)Bm","Is Bm a full lower triangular matrix without diagonal?","⎕← (⊢≡∘.>⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡∘.>⍨∘⍳∘≢) ⎕← 3 3⍴1 0 0 1 1 0 1 1 1
⎕← (⊢≡∘.>⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 1 0 0 1 1 0
⎕← (⊢≡∘.>⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 0 0 0 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS58FHHDD27R70rgPSj3s0gsnORpgJUjbGC8aPeLYYKaJCLDCMMgBCk2YBcIwygRsANItcIJIP@/wcA"
"Is(⊣*∘÷⍨1⊥*⍨∘|)N","Is-norm","⎕←2 (⊣*∘÷⍨1⊥*⍨∘|) 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wUNB51LdZ61DHj8PZHvSsMH3Ut1QLSQH6NpoKxgsn//wA"
"{⊃,/,¨⊆¨⍵}⍣≡Y","Enlist (∊Y) but keep leaf simple arrays intact","⎕← {⊃,/,¨⊆¨⍵}⍣≡ ('aaa' 'bbb')(('ccc' 'ccc' 'ccc') 'ddd') (⊂'eee')","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSqH3U16@jrHFrxqKsNSPRurX3Uu/hR50IFDfXExER1BfWkpCR1TQ0N9eTkZCAPQWoqqKekpAApjUddTeqpqanqmv//AwA"
"(2÷⍨⍋∘⍋+⍒∘⍋∘⌽)Nv","Assign ascending ranking based on scores Nv (ties all get average ranking of used slots)","⎕← (2÷⍨⍋∘⍋+⍒∘⍋∘⌽) 3 3 3 5 8 8 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0jA5vf9S74lFv96OOGUBS@1HvJAgLRPbs1VQwBkNTBQsgNDL8/x8A"
"(2÷⍨⍋∘⍒+⍒∘⍒∘⌽)Nv","Assign descending ranking based on scores Nv (ties all get average ranking of used slots)","⎕← (2÷⍨⍋∘⍒+⍒∘⍒∘⌽) 3 3 3 5 8 8 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0jA5vf9S74lFv96OOGY96J2kDMYQFInv2aioYg6GpggUQGhn@/w8A"
"(2*∘÷⍨1⊥2*⍨-)⍤1⍤1 99⍨Nm","Euclidean distance table for points in N-space (one point per row)","⎕← (2*∘÷⍨1⊥2*⍨-)⍤1⍤1 99⍨ ⎕← 4 2⍴0 0 0 1 1 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0jLQedcw4vP1R7wrDR11LgbzeFbqaj3qXGIKwgqUlkK8AVWuiYPSod4uBAggaAiGY/P8fAA"
"(↓(⌊/≢¨)↑⍉∘↑)Yv","Merge vectors in Yv alternately (↓⍉↑ that removes trailing elements from longer vectors)","⎕← (↓(⌊/≢¨)↑⍉∘↑) 'Now' 'is' 'the' 'time'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HrVN1njU06X/qHPRoRWaj9omPurtfNQxA8jQVFD3yy9XV1DPLAYSJRmpIDIzN1X9/38A"
"Cv⎕S{⍵.(1↓Lengths↑¨Offsets↓¨⊂Block)}Dv","Search text for PCRE regex(es) Cv returning vector of vector of capturing groups","⎕← '(\w+) (\d+)' ⎕S{⍵.(1↓Lengths↑¨Offsets↓¨⊂Block)} 'hello 123 456' 'apl 360'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUNWLKtTUVNGJStDXVFYCCwdWPerfqaRg@apvsk5qXXpJR/Kht4qEV/mlpxaklQPbkQysedTU55eQnZ2vWKqhnpObk5CsYGhkrmJiaqSuoJxbkKBibGaj//w8A"
"('/'@('\'∘=))Dv","Replace backslashes with slashes","⎕← ('/'@('\'∘=)) 'path\to\file'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ01PXVHTTUY9Qfdcyw1dRUUC9ILMmIKcmPScvMSVX//x8A"
"(⊢≡⊢×∘.<⍨∘⍳∘≢)Nm","Is Nm an upper triangular matrix without diagonal?","⎕← (⊢≡⊢×∘.<⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡⊢×∘.<⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 0 1 1 0 0 1
⎕← (⊢≡⊢×∘.<⍨∘⍳∘≢) ⎕← 3 3⍴0 1 1 0 0 1 0 0 0
⎕← (⊢≡⊢×∘.<⍨∘⍳∘≢) ⎕← 3 3⍴0 0 1 0 0 0 0 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS5EEgenv6oY4aezaPeFUD6Ue9mENm5SFMBqtBYwfhR7xZDBTTIRYk5BlDSgGxzkEwAkwZkmwM3AQL//wcA"
"(⊢≡⊢×∘.≤⍨∘⍳∘≢)Nm","Is Nm an upper triangular matrix with diagonal?","⎕← (⊢≡⊢×∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡⊢×∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 0 1 1 0 0 1
⎕← (⊢≡⊢×∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴0 1 1 0 0 1 0 0 0
⎕← (⊢≡⊢×∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴0 0 1 0 0 0 0 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS5EEgenv6oY4beo84lj3pXAFmPejeDyM5FmgpQpcYKxo96txgqoEEuykwygJIGFJiEZAaYNKDAJLgZEPj/PwA"
"(⊢≡⊢×∘.≥⍨∘⍳∘≢)Nm","Is Nm a lower triangular matrix with diagonal?","⎕← (⊢≡⊢×∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡⊢×∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴1 0 0 1 1 0 1 1 1
⎕← (⊢≡⊢×∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 1 0 0 1 1 0
⎕← (⊢≡⊢×∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 0 0 0 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS5EEgenv6oY4beo86lj3pXAFmPejeDyM5FmgpQpcYKxo96txgqoEEu8k0yAEKQGQYUmmQANQluHoUmIZn3/z8A"
"(⊢≡⊢×∘.>⍨∘⍳∘≢)Nm","Is Nm a lower triangular matrix without diagonal?","⎕← (⊢≡⊢×∘.>⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (⊢≡⊢×.>⍨∘⍳∘≢) ⎕← 3 3⍴1 0 0 1 1 0 1 1 1
⎕← (⊢≡⊢×∘.>⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 1 0 0 1 1 0
⎕← (⊢≡⊢×∘.>⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 0 0 0 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS5EEgenv6oY4ae3aPeFUD6Ue9mENm5SFMBqtBYwfhR7xZDBTTIhcUcwoYYACFIuwFuQ4hwjAHUHLhpFJmDZNr//wA"
"Is(⊢÷⊣*∘÷⍨1⊥*⍨∘|)N","Normalisation by Is-norm","⎕←2 (⊢÷⊣*∘÷⍨1⊥*⍨∘|) 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4wUNB51LTq8/VHXYq1HHTOAjN4Vho@6lmoBaSC/RlPBWMHk/38A"
"(≢(⊢-⍨1↓⊢,1+⊣)⍸)Bv","Length of subvectors indicated by Bv (Fast ≢¨⊂⍨Bv)","⎕← (≢(⊢-⍨1↓⊢,1+⊣)⍸) 1 0 0 0 1 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUu0njUtUj3Ue8Kw0dtk4FMHUPtR12LNR/17tBUMFQwAENDCOv/fwA"
"Mm{,⍤2,[⍳2]1 3 2 4⍉⍺∘.×⍵}Nm","Kronecker product","A ← 2 3⍴1 ¯4 7,¯2 3 3
B ← 4 4⍴8 ¯9 ¯6 5,1 ¯3 ¯4 7,2 8 ¯8 ¯3,1 2 ¯5 ¯1
⎕← A {,⍤2,[⍳2]1 3 2 4⍉⍺∘.×⍵} B","https://tio.run/##SyzI0U2pTMzJT///31HhUdsEBSMF40e9WwwVDq03UTDXObQeyFcw5nICy5komADlLIBylkBspmCqA1JnDFVrpACSAWFjoLgRkDYFYkOuR31TQZodFap1HvUuMdKJftS72SjWEGiuEci8zke9ux51zNA7PP1R79ZaBaf//wE"
"{⍺←'assertion failure' ⋄ 0∊⍵:⍺ ⎕SIGNAL 8 ⋄ shy←0}B","Signal an error if any condition is not met (optional left argument: message on failure)","assert ← {⍺←'assertion failure' ⋄ 0∊⍵:⍺ ⎕SIGNAL 8 ⋄ shy←0}","https://tio.run/##SyzI0U2pTMzJT///P7G4OLWoROFR2wSF6ke9u4C0OkQoMz9PIS0xM6e0KFVd4VF3i4LBo46uR71brYCqFB71TQ32dPdz9FGwAMsVZ1QCdRrUws0ztTNUMFE4tN6ICypgDBMAAA"
"(~0∊×∘|≤∘.<⍨∘⍳∘≢)Bm","Is Bm an upper triangular matrix without diagonal?","⎕← (~0∊×∘|≤∘.<⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (~0∊×∘|≤∘.<⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 0 1 1 0 0 1
⎕← (~0∊×∘|≤∘.<⍨∘⍳∘≢) ⎕← 3 3⍴0 1 1 0 0 1 0 0 0
⎕← (~0∊×∘|≤∘.<⍨∘⍳∘≢) ⎕← 3 3⍴0 0 1 0 0 0 0 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ06gwedXQdnv6oY0bNo84lQErP5lHvCiD9qHcziOxcpKkAVWusYPyod4uhAhrkotAoAyhpQIlRSIaASQNKjIIbAoH//wMA"
"(~0∊×∘|≤∘.≤⍨∘⍳∘≢)Bm","Is Bm an upper triangular matrix with diagonal?","⎕← (~0∊×∘|≤∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (~0∊×∘|≤∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 0 1 1 0 0 1
⎕← (~0∊×∘|≤∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴0 1 1 0 0 1 0 0 0
⎕← (~0∊×∘|≤∘.≤⍨∘⍳∘≢) ⎕← 3 3⍴0 0 1 0 0 0 0 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ06gwedXQdnv6oY0bNo84lQEoPRPWuALIe9W4GkZ2LNBWgqo0VjB/1bjFUQINcFBtmACUNKDMMyRgwaUCZYXBjIPD/fwA"
"(~0∊×∘|≤∘.≥⍨∘⍳∘≢)Bm","Is Bm a lower triangular matrix with diagonal?","⎕← (~0∊×∘|≤∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (~0∊×∘|≤∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴1 0 0 1 1 0 1 1 1
⎕← (~0∊×∘|≤∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 1 0 0 1 1 0
⎕← (~0∊×∘|≤∘.≥⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 0 0 0 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ06gwedXQdnv6oY0bNo84lQErvUefSR70rgKxHvZtBZOciTQWoamMF40e9WwwV0CAXRYYZACHIGAPKDTOAGgY3knLDkIz8/x8A"
"(~0∊×∘|≤∘.>⍨∘⍳∘≢)Bm","Is Bm a lower triangular matrix without diagonal?","⎕← (~0∊×∘|≤∘.>⍨∘⍳∘≢) ⎕← 3 3⍴1 1 1 1 1 1 1 1 1
⎕← (~0∊×∘|≤∘.>⍨∘⍳∘≢) ⎕← 3 3⍴1 0 0 1 1 0 1 1 1
⎕← (~0∊×∘|≤∘.>⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 1 0 0 1 1 0
⎕← (~0∊×∘|≤∘.>⍨∘⍳∘≢) ⎕← 3 3⍴0 0 0 0 0 0 1 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ06gwedXQdnv6oY0bNo84lQErP7lHvCiD9qHcziOxcpKkAVWusYPyod4uhAhrkosAoAyAEGWJAqVEGUKPgBlJqFJKB//8DAA"
"('[%&\\]'⎕R'\\&')Dv","Escape special characters for transformation pattern of ⎕R and ⎕S","⎕← ('[%&\\]'⎕R'\\&') '\per%cent'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ01KNV1WJiYtWB/CD1mBg1dU0F9ZiC1CLV5NS8EvX//wE"
"(+/∘⊃2⎕NINFO⍠1⍠'Recurse' 1,∘'/*')Dv","Size (in bytes) of all contents in directory Dv (recursively)","⎕← (+/∘⊃2⎕NINFO⍠1⍠'Recurse' 1,∘'/*') '/opt/mdyalog/17.1/64/unicode/Library'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0tPUfdcx41NVsBBTw8/Rz83/Uu8AQiNWDUpNLi4pT1RUMdYAq1PW11DUV1PXzC0r0cyFm6Bua6xnqm5nol@ZlJuenpOr7ZCYVJRZVqv//DwA"
"⌽@(1(⌽∨⊢)0<\⍤,2>/⊢)⍣≡Nv","Bubble sort","⎕← ⌽@((<\∨1⌽<\)0,2>/⊢)⍣≡ 3 1 4 1 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9ex10NCwiXnUscIQyLaJ0TTQMbLTf9S1SPNR7@JHnQsVjBUMFUyA2PT/fwA"
"((⎕FUNTIE⊢⊢⎕FREAD⍤,¯1+2↓∘⍳/2↑⎕FSIZE)⎕FSTIE∘0)Dv","Read all components from component file Dv","tn ← 'file.dcf' ⎕FCREATE 0
'abc' ⎕FAPPEND tn
⎕← ⎕FREAD tn 1","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLjUE5OSIUKOAQGufi4KJXlcQB5IC0gQqAwkpGD4/z8A"
"(⍕,{2↑'thstndrd'↓⍨2×⊃⍵⌽∊1 0 8\⊂10↑0,⍳3})Js","Ordinal suffix for positive integer Js","Ord ← ⍕,{2↑'thstndrd'↓⍨2×⊃⍵⌽∊1 0 8\⊂10↑0,⍳3}
⎕← Ord 0
⎕← Ord¨⍳121
⎕← Ord 1000000","https://tio.run/##SyzI0U2pTMzJT///378oReFR2wSFR71TdaqNHrVNVC/JKC7JSylKUX/UNvlR7wqjw9MfdTU/6t36qGfvo44uQwUDBYuYR11NhgZAxQY6j3o3G9dyPeqbCjIEZJgBEufQCqC0oZEhsryhARj8/w8A"
